Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
"RIVER SUTLEJ AT D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",PUNJAB,12.0,30.0,4.7,8.9,6.9,8.0,251.0,420.0,1.0,2.4,1.2,2.8,170.0,1100.0,540.0,2700.0,,,0
"RIVER RAVI AT RANJIT SAGAR DAM, AT PANAGAR (BASOHIL)",JAMMU & KASHMIR,12.0,26.0,7.4,7.5,7.5,8.2,109.0,230.0,1.0,1.0,0.0,0.0,,,,,,,0
RIVER RAVI AT DAM-SITE AT THEIN,JAMMU & KASHMIR,12.0,26.0,7.4,7.4,7.4,8.2,107.0,185.0,1.0,1.0,0.0,0.0,,,,,,,0
"RIVER RAVI AT LAKHANPUR, 1 KM D/S FROM MADHOPUR BRIDGE",JAMMU & KASHMIR,12.0,26.0,6.3,6.5,7.6,8.6,108.0,560.0,1.0,1.3,0.0,0.0,,,,,,,0
RIVER RAVI U/S CHAMBA,HIMACHAL PRADESH,10.0,18.0,8.7,9.1,7.5,8.4,141.0,276.0,1.0,1.0,0.3,6.43,2.0,68.0,21.0,16000.0,2,2,0
RIVER RAVI AT U/S MADHOPUR,HIMACHAL PRADESH,9.0,22.0,8.1,9.0,7.4,8.2,164.0,467.0,1.0,1.0,0.3,4.58,2.0,20.0,130.0,1400.0,2,2,0
RIVER RAVI  CHAMERA-I RESERVOIR,"HIMACHAL
PRADESH",11.0,17.5,8.5,9.2,6.9,8.2,158.0,286.0,1.0,1.0,0.31,2.18,2.0,27.0,110.0,5400.0,2,2,0
RIVER RAVI  D/S  CHAMERA- III HEP DAM,HIMACHAL PRADESH,9.0,17.0,8.9,9.2,7.1,8.3,136.0,274.0,1.0,1.0,0.41,3.61,2.0,40.0,27.0,3500.0,2,2,0
RIVER RAVI AT D/S OF CHAMBA TOWN,HIMACHAL PRADESH,10.0,17.0,8.0,9.0,7.5,8.1,130.0,266.0,1.0,1.0,0.3,3.23,2.0,78.0,26.0,16000.0,2,2,0
RIVER RAVI U/S STP AT BHARGA,HIMACHAL PRADESH,10.0,17.5,8.8,9.1,7.5,8.4,142.0,281.0,1.0,1.0,0.59,4.71,2.0,40.0,21.0,9200.0,2,2,0
RIVER RAVI D/S STP AT BHAGOT,HIMACHAL PRADESH,10.0,18.5,8.3,9.0,7.5,8.3,140.0,264.0,1.0,1.0,0.3,3.06,2.0,110.0,32.0,9200.0,2,2,0
"RIVER RAVI AT LAKHANPUR,",JAMMU & KASHMIR,19.0,31.0,8.7,10.8,8.0,8.7,175.0,351.0,1.0,3.0,0.32,0.83,2200.0,24000000.0,7000.0,160000000.0,11,540000,0
RIVER RAVI AT MADHOPUR,PUNJAB,18.0,24.0,9.0,10.0,7.9,8.4,172.0,237.0,1.0,1.3,0.39,1.79,37.0,28000.0,400.0,28000.0,13,790,0
"RIVER RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR, PUNJAB",PUNJAB,11.0,34.0,8.1,10.2,7.5,8.2,152.0,207.0,1.0,1.1,0.4,1.2,18.0,40.0,70.0,140.0,,,0
RIVER PARVATI BEFORE CONF. TO RIVER BEAS AT BHUNTER,HIMACHAL PRADESH,4.0,16.0,7.0,8.6,6.5,8.1,42.0,100.0,1.0,1.0,0.32,0.85,43.0,170.0,220.0,920.0,2,2,0
RIVER SAINJ D/S LARJI,HIMACHAL PRADESH,6.0,15.0,7.4,8.2,7.0,8.0,60.0,145.0,1.0,1.0,0.32,0.84,22.0,110.0,94.0,920.0,2,2,0
RIVER PARVATI AT U/S MANIKARAN,HIMACHAL PRADESH,3.0,15.0,7.2,8.8,6.8,8.3,40.0,94.0,1.0,1.0,0.32,1.06,17.0,47.0,63.0,220.0,2,2,0
RIVER PARVATI AT D/S MANIKARAN,HIMACHAL PRADESH,3.0,16.0,7.1,8.7,6.8,8.0,42.0,100.0,1.0,1.0,0.32,1.23,22.0,94.0,70.0,350.0,2,2,0
RIVER SIRSA U/S SITOMAJRI NALLAH,HIMACHAL PRADESH,12.0,23.0,5.8,7.1,7.4,8.2,331.0,766.0,1.0,7.2,1.73,15.8,2.0,920.0,26.0,1600.0,2,2,0
RIVER SIRSA D/S NALAGARH BRIDGE,HIMACHAL PRADESH,12.0,26.0,5.5,7.1,7.3,8.1,408.0,1436.0,1.0,6.0,2.62,15.54,4.0,920.0,21.0,1600.0,2,2,0
RIVER SIRSA  D/S NALAGARH  TOWN,HIMACHAL PRADESH,11.0,26.0,3.4,7.1,7.1,8.1,403.0,1611.0,1.0,3.9,3.05,15.31,2.0,540.0,26.0,1600.0,2,2,0
RIVER SIRSA U/S SANDHOLI NALLAH,HIMACHAL PRADESH,11.0,24.0,6.0,7.1,7.5,8.2,329.0,768.0,1.0,3.8,1.86,11.86,4.0,46.0,34.0,920.0,2,2,0
RIVER BALD D/S LANDFILLSITE AT BADDI,HIMACHAL PRADESH,12.0,24.0,4.0,7.6,7.2,8.1,302.0,1754.0,1.0,24.0,1.4,9.23,2.0,1600.0,12.0,1600.0,2,2,0
RIVER SIRSA D/S HOUSING BOARD NALLAH,HIMACHAL PRADESH,11.0,25.0,3.0,6.9,7.6,8.2,360.0,1913.0,1.0,16.0,1.48,14.24,7.0,1600.0,39.0,1600.0,2,9,0
RIVER SIRSA AFTER CONF. TO RIVER RATTA,HIMACHAL PRADESH,12.0,24.0,5.2,7.1,7.7,8.3,418.0,1385.0,1.0,5.6,1.93,12.83,4.0,540.0,33.0,1600.0,2,2,0
"RIVER SARSA AT BADDI , ,GHANOLI VILLAGE) PUNJAB",PUNJAB,19.0,27.0,6.0,6.8,7.6,8.1,330.0,1269.0,3.0,45.0,1.27,5.52,3400.0,490000.0,28000.0,1600000.0,1700,4900,0
"RIVER CONFLUENCE POINT OF SARSA NADI WITH
SUTLEJ, NR VILL ASPUR, ROOPNAGAR",PUNJAB,12.0,29.0,6.5,12.2,7.2,8.3,262.0,554.0,1.0,1.2,0.9,4.7,78.0,460.0,210.0,1100.0,,,0
RIVER BAIRA SIUL  D/S SURGANI,HIMACHAL PRADESH,10.0,16.0,8.7,9.2,6.7,8.1,64.0,283.0,1.0,1.0,0.37,3.32,2.0,14.0,70.0,1700.0,2,2,0
